Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1963","1963","hg/ha","25099","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1964","1964","hg/ha","26524","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1965","1965","hg/ha","23969","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1966","1966","hg/ha","28581","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1967","1967","hg/ha","33049","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1968","1968","hg/ha","34175","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1969","1969","hg/ha","33172","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1970","1970","hg/ha","29445","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1971","1971","hg/ha","35577","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1972","1972","hg/ha","31461","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1973","1973","hg/ha","35268","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1974","1974","hg/ha","40938","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1975","1975","hg/ha","35063","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1976","1976","hg/ha","42634","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1977","1977","hg/ha","37588","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1978","1978","hg/ha","41771","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1979","1979","hg/ha","31457","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1980","1980","hg/ha","44673","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1981","1981","hg/ha","37370","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1982","1982","hg/ha","42767","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1983","1983","hg/ha","45300","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1984","1984","hg/ha","47632","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1985","1985","hg/ha","48862","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1986","1986","hg/ha","43605","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1987","1987","hg/ha","45284","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1988","1988","hg/ha","53436","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1989","1989","hg/ha","49015","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1990","1990","hg/ha","50479","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1991","1991","hg/ha","50735","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1992","1992","hg/ha","53938","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1993","1993","hg/ha","42246","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1994","1994","hg/ha","52088","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1995","1995","hg/ha","50856","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1996","1996","hg/ha","50069","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1997","1997","hg/ha","52044","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1998","1998","hg/ha","50749","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","1999","1999","hg/ha","54348","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2000","2000","hg/ha","44688","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2001","2001","hg/ha","52412","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2002","2002","hg/ha","49667","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2003","2003","hg/ha","43801","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2004","2004","hg/ha","59234","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2005","2005","hg/ha","50286","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2006","2006","hg/ha","49066","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2007","2007","hg/ha","47763","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2008","2008","hg/ha","56935","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2009","2009","hg/ha","49295","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2010","2010","hg/ha","50117","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2011","2011","hg/ha","58549","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2012","2012","hg/ha","41388","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2013","2013","hg/ha","53743","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2014","2014","hg/ha","59217","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2015","2015","hg/ha","56962","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2016","2016","hg/ha","62534","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2017","2017","hg/ha","48712","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2018","2018","hg/ha","46453","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2019","2019","hg/ha","57372","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2020","2020","hg/ha","59234","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2021","2021","hg/ha","55299","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1961","1961","tonnes","711673","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1962","1962","tonnes","706206","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1963","1963","tonnes","689528","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1964","1964","tonnes","750534","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1965","1965","tonnes","660712","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1966","1966","tonnes","896906","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1967","1967","tonnes","1045402","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1968","1968","tonnes","1044709","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1969","1969","tonnes","950279","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1970","1970","tonnes","810424","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1971","1971","tonnes","974281","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1972","1972","tonnes","863310","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1973","1973","tonnes","939152","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1974","1974","tonnes","1101762","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1975","1975","tonnes","945188","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1976","1976","tonnes","1233520","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1977","1977","tonnes","1071848","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1978","1978","tonnes","1194808","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1979","1979","tonnes","849921","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1980","1980","tonnes","1200599","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1981","1981","tonnes","1025011","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1982","1982","tonnes","1236355","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1983","1983","tonnes","1417365","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1984","1984","tonnes","1501000","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1985","1985","tonnes","1562776","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1986","1986","tonnes","1414599","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1987","1987","tonnes","1450734","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1988","1988","tonnes","1559993","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1989","1989","tonnes","1362951","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1990","1990","tonnes","1404468","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1991","1991","tonnes","1375253","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1992","1992","tonnes","1325401","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1993","1993","tonnes","1018013","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1994","1994","tonnes","1255122","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1995","1995","tonnes","1301445","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1996","1996","tonnes","1239723","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1997","1997","tonnes","1352281","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1998","1998","tonnes","1341820","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1999","1999","tonnes","1416200","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2000","2000","tonnes","1312962","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2001","2001","tonnes","1508283","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2002","2002","tonnes","1434208.07","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2003","2003","tonnes","1191380","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2004","2004","tonnes","1718825.23","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2005","2005","tonnes","1453072","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2006","2006","tonnes","1396300","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2007","2007","tonnes","1399341","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2008","2008","tonnes","1689688","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2009","2009","tonnes","1523368","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2010","2010","tonnes","1517805","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2011","2011","tonnes","1781837","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2012","2012","tonnes","1275498","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2013","2013","tonnes","1597706.42","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2014","2014","tonnes","1804018.24","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2015","2015","tonnes","1725736.81","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2016","2016","tonnes","1970363.6","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2017","2017","tonnes","1437143","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2018","2018","tonnes","1367060","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2019","2019","tonnes","1596880","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2020","2020","tonnes","1652740","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2021","2021","tonnes","1547600","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2000","2000","ha","213100","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2001","2001","ha","181100","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2002","2002","ha","202400","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2003","2003","ha","191216","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2004","2004","ha","213035","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2005","2005","ha","213748","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2006","2006","ha","201330","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2007","2007","ha","199897","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2008","2008","ha","211270","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2009","2009","ha","201768","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2010","2010","ha","209532","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2011","2011","ha","200813","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2012","2012","ha","217060","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2013","2013","ha","201854","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2014","2014","ha","211900","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2015","2015","ha","201628","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2016","2016","ha","206284","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2017","2017","ha","197592","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2018","2018","ha","195690","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2019","2019","ha","203760","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2020","2020","ha","194660","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2021","2021","ha","209180","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2000","2000","hg/ha","79198","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2001","2001","hg/ha","80475","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2002","2002","hg/ha","82757","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2003","2003","hg/ha","85786","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2004","2004","hg/ha","89806","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2005","2005","hg/ha","82733","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2006","2006","hg/ha","82549","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2007","2007","hg/ha","78908","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2008","2008","hg/ha","87585","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2009","2009","hg/ha","94652","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2010","2010","hg/ha","88272","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2011","2011","hg/ha","84046","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2012","2012","hg/ha","84522","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2013","2013","hg/ha","89349","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2014","2014","hg/ha","94129","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2015","2015","hg/ha","100152","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2016","2016","hg/ha","67871","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2017","2017","hg/ha","86174","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2018","2018","hg/ha","84923","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2019","2019","hg/ha","93364","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2020","2020","hg/ha","89463","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2021","2021","hg/ha","77884","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2000","2000","tonnes","1687700","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2001","2001","tonnes","1457400","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2002","2002","tonnes","1675000","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2003","2003","tonnes","1640364","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2004","2004","tonnes","1913177","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2005","2005","tonnes","1768410","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2006","2006","tonnes","1661958","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2007","2007","tonnes","1577342","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2008","2008","tonnes","1850406","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2009","2009","tonnes","1909768","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2010","2010","tonnes","1849584","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2011","2011","tonnes","1687749","A","Official figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2012","2012","tonnes","1834624","A","Official figure"
